ensg	chromosome_name	hgnc_symbol
ENSG00000210049	MT	MT-TF
ENSG00000211459	MT	MT-RNR1
ENSG00000210077	MT	MT-TV
ENSG00000210082	MT	MT-RNR2
ENSG00000209082	MT	MT-TL1
ENSG00000198888	MT	MT-ND1
ENSG00000210100	MT	MT-TI
ENSG00000210107	MT	MT-TQ
ENSG00000210112	MT	MT-TM
ENSG00000198763	MT	MT-ND2
ENSG00000210117	MT	MT-TW
ENSG00000210127	MT	MT-TA
ENSG00000210135	MT	MT-TN
ENSG00000210140	MT	MT-TC
ENSG00000210144	MT	MT-TY
ENSG00000198804	MT	MT-CO1
ENSG00000210151	MT	MT-TS1
ENSG00000210154	MT	MT-TD
ENSG00000198712	MT	MT-CO2
ENSG00000210156	MT	MT-TK
ENSG00000228253	MT	MT-ATP8
ENSG00000198899	MT	MT-ATP6
ENSG00000198938	MT	MT-CO3
ENSG00000210164	MT	MT-TG
ENSG00000198840	MT	MT-ND3
ENSG00000210174	MT	MT-TR
ENSG00000212907	MT	MT-ND4L
ENSG00000198886	MT	MT-ND4
ENSG00000210176	MT	MT-TH
ENSG00000210184	MT	MT-TS2
ENSG00000210191	MT	MT-TL2
ENSG00000198786	MT	MT-ND5
ENSG00000198695	MT	MT-ND6
ENSG00000210194	MT	MT-TE
ENSG00000198727	MT	MT-CYB
ENSG00000210195	MT	MT-TT
ENSG00000210196	MT	MT-TP
ENSG00000263399	13	MIR3170
ENSG00000200390	2	AC006011.1
ENSG00000277953	CHR_HSCHR19LRC_LRC_T_CTG3_1	AC012314.16
ENSG00000266328	X	MIR4536-2
ENSG00000208004	14	MIR323B
ENSG00000200506	14	AL160313.1
ENSG00000252315	Y	RNA5SP520
ENSG00000252066	15	RNU2-53P
ENSG00000277841	15	MIR5701-2
ENSG00000265195	15	MIR4312
ENSG00000200334	5	AC008427.1
ENSG00000223158	13	RNY1P3
ENSG00000283274	14	ABBA01010928.1
ENSG00000275109	16	MIR6504
ENSG00000206929	12	AC093024.1
ENSG00000222087	18	RNU6-721P
ENSG00000277478	17	MIR6165
ENSG00000202388	3	AC080098.1
ENSG00000276562	9	RN7SL565P
ENSG00000207736	17	MIR657
ENSG00000252884	8	RNU6-1213P
ENSG00000207782	19	MIR150
ENSG00000241529	3	RN7SL767P
ENSG00000278617	19	MIR8074
ENSG00000281067	CHR_HG1832_PATCH	ST13P19
ENSG00000277836	KI270728.1	AC141272.1
ENSG00000216191	2	MIR8485
ENSG00000207357	19	RNU6-2
ENSG00000221782	2	MIR548F2
ENSG00000283568	20	ABBA01031658.1
ENSG00000207438	10	AL713888.1
ENSG00000275842	20	MIR941-5
ENSG00000276753	22	MIR6821
ENSG00000278817	KI270734.1	AC007325.4
ENSG00000200253	10	RNU6-529P
ENSG00000212572	18	RNU6-903P
ENSG00000276083	3	MIR7976
ENSG00000266515	4	MIR4452
ENSG00000252642	3	RNA5SP137
ENSG00000252206	12	RNU7-40P
ENSG00000273882	4	MIR8066
ENSG00000201933	7	AC005537.1
ENSG00000284447	5	MIR9-2
ENSG00000283278	7	MIR3914-2
ENSG00000263360	16	RN7SL134P
ENSG00000257215	CHR_HSCHR6_MHC_MANN_CTG1	CR847794.2
ENSG00000284547	9	MIR2861
ENSG00000265848	9	MIR3689D1
ENSG00000199938	6	AL079341.1
ENSG00000222923	2	RNU2-41P
ENSG00000207466	1	AL714019.1
ENSG00000204805	9	AL391987.2
ENSG00000252973	19	RNU6-1028P
ENSG00000278036	CHR_HSCHR10_1_CTG1	AC231273.1
ENSG00000222501	8	RNU4-25P
ENSG00000282035	CHR_HSCHR3_1_CTG1	AC090958.4
ENSG00000200237	19	AC008752.1
ENSG00000199366	18	AC010853.1
ENSG00000263811	1	MIR3675
ENSG00000263358	CHR_HSCHR6_MHC_SSTO_CTG1	SNORD117
ENSG00000241693	22	RN7SL704P
ENSG00000283933	1	MIR6878
ENSG00000202382	2	AC062037.1
ENSG00000198975	11	MIRLET7A2
ENSG00000275154	14	AL121839.4
ENSG00000283759	12	MIR614
ENSG00000276096	16	AC020663.4
ENSG00000207488	7	AC002064.1
ENSG00000284011	12	MIR6502
ENSG00000263937	CHR_HSCHR6_MHC_COX_CTG1	AL662859.1
ENSG00000277919	15	MIR8067
ENSG00000252412	22	Z73420.1
ENSG00000283666	4	AC093608.1
ENSG00000199156	15	MIR422A
ENSG00000207119	15	AC027237.1
ENSG00000265503	17	MIR1269B
ENSG00000222520	18	RNA5SP451
ENSG00000273896	CHR_HSCHR19LRC_LRC_T_CTG3_1	TSEN34
ENSG00000263583	17	MIR4522
ENSG00000281022	CHR_HG2030_PATCH	MED22
ENSG00000207292	6	BX276089.1
ENSG00000263800	19	MIR5684
ENSG00000222869	7	RNU6-565P
ENSG00000274420	3	AC026318.1
ENSG00000264279	2	MIR4786
ENSG00000200830	12	RN7SKP134
ENSG00000283320	20	MIR103B2
ENSG00000212414	8	SNORD77B
ENSG00000207554	20	MIR647
ENSG00000252213	5	SNORA74D
ENSG00000252868	15	AC061965.1
ENSG00000266243	5	MIR4279
ENSG00000200314	6	AL109920.1
ENSG00000274053	CHR_HSCHR19LRC_PGF2_CTG3_1	NCR1
ENSG00000264760	5	MIR3141
ENSG00000223037	4	RNU6-284P
ENSG00000238503	2	AC013471.1
ENSG00000284446	6	MIR1236
ENSG00000283795	1	MIR4426
ENSG00000199764	7	AC002461.1
ENSG00000275373	11	MIR6124
ENSG00000207632	6	MIR588
ENSG00000266192	11	MIR1260B
ENSG00000239175	8	RNU6-1218P
ENSG00000264069	7	MIR3943
ENSG00000263885	11	MIR3920
ENSG00000199043	7	MIR335
ENSG00000265861	12	MIR4495
ENSG00000263776	3	SNORA4
ENSG00000223212	7	RNU4-74P
ENSG00000276319	13	MIR8079
ENSG00000284200	8	MIR6847
ENSG00000274721	5	AC091825.1
ENSG00000283856	14	MIR7703
ENSG00000276029	9	MIR4477A
ENSG00000251982	2	RN7SKP43
ENSG00000266449	15	MIR3713
ENSG00000207617	9	MIR3074
ENSG00000273913	2	AC025750.4
ENSG00000274805	16	MIR6768
ENSG00000277794	13	AL355132.1
ENSG00000277889	9	MIR8081
ENSG00000257381	16	MIR3179-2
ENSG00000239190	12	RNU6-717P
ENSG00000207693	9	MIR602
ENSG00000207808	19	MIR27A
ENSG00000278554	3	AC119038.1
ENSG00000207439	5	AC008847.1
ENSG00000207785	X	MIR500A
ENSG00000265418	2	MIR4261
ENSG00000222532	X	MIR1468
ENSG00000252224	9	RNU4ATAC15P
ENSG00000207099	12	RNU6-166P
ENSG00000264764	2	MIR4772
ENSG00000207866	X	MIR514A2
ENSG00000252942	9	RNA5SP290
ENSG00000283639	2	MIR9500
ENSG00000207083	16	RNU6-22P
ENSG00000199836	14	RNU1-47P
ENSG00000265841	21	MIR548X
ENSG00000201003	1	AL049745.1
ENSG00000265180	3	MIR4790
ENSG00000252540	20	RNU6-919P
ENSG00000200150	14	AL132709.1
ENSG00000275789	3	MIR8064
ENSG00000222714	2	RN7SKP38
ENSG00000265829	4	MIR548AG1
ENSG00000207087	2	RNU6-242P
ENSG00000239679	4	RN7SL193P
ENSG00000207169	17	RNU6-24P
ENSG00000199169	4	MIR367
ENSG00000244632	3	RN7SL863P
ENSG00000252956	1	RNA5SP40
ENSG00000264105	4	MIR3688-1
ENSG00000222209	1	RNA5SP56
ENSG00000278571	6	MIR7161
ENSG00000203411	15	AC113208.1
ENSG00000206927	16	AC126755.2
ENSG00000201372	20	RNU6-1251P
ENSG00000207628	X	MIR651
ENSG00000207242	17	RNU6-1065P
ENSG00000221494	X	MIR548I4
ENSG00000199797	22	AL023281.1
ENSG00000200250	2	RNU6-1147P
ENSG00000222715	X	MIR1911
ENSG00000212205	1	AC096637.1
ENSG00000252317	1	AL513342.1
ENSG00000206640	1	AL356273.2
ENSG00000200556	16	RNU6-103P
ENSG00000252139	18	AC090227.1
ENSG00000241392	4	RN7SL205P
ENSG00000207495	13	RNY3P10
ENSG00000200191	8	AC104012.1
ENSG00000200040	6	AL392166.1
ENSG00000238680	18	RNU6-1037P
ENSG00000240927	15	RN7SL209P
ENSG00000253086	1	RNU6-537P
ENSG00000252260	18	RNA5SP461
ENSG00000206765	X	RNU6-203P
ENSG00000201666	X	AC121343.1
ENSG00000200646	19	AC006116.1
ENSG00000200211	13	RNY4P27
ENSG00000199884	2	AC079347.1
ENSG00000252343	4	RNU2-34P
ENSG00000274062	17	AC024051.2
ENSG00000206822	14	AL136038.3
ENSG00000276193	8	AC090821.4
ENSG00000275071	13	AL139038.1
ENSG00000223118	2	RN7SKP102
ENSG00000238387	11	AC122179.1
ENSG00000273506	CHR_HSCHR19LRC_LRC_I_CTG3_1	NCR1
ENSG00000252424	14	RNA5SP384
ENSG00000222467	2	AC079449.1
ENSG00000238523	10	RNU7-107P
ENSG00000252821	7	RNU6-388P
